ParameterName,Result,AddressOrNote,Mode
crv_PT1000y_TFu,RESOLVED,0x4004039C (crv_PT1000y_TFu),DIRECT
crv_PT1000x_TFu,RESOLVED,0x40040388 (crv_PT1000x_TFu),DIRECT
cnst_BoostCurrent,RESOLVED,0x40040090 (cnst_BoostCurrent),DIRECT
cnst_HoldCurrent,RESOLVED,0x4004008C (cnst_HoldCurrent),DIRECT
cnst_BoostVoltage,RESOLVED,0x40040094 (cnst_BoostVoltage),DIRECT
stDefaultInjBankTiming.UBoost,RESOLVED,0x40040060 (stDefaultInjBankTiming+DWARF(0)),STRUCT_MEMBER
stDefaultInjBankTiming.IBoost,RESOLVED,0x40040064 (stDefaultInjBankTiming+DWARF(4)),STRUCT_MEMBER
stDefaultInjBankTiming.FirstPuls,RESOLVED,0x40040068 (stDefaultInjBankTiming+DWARF(8)),STRUCT_MEMBER
stDefaultInjBankTiming.BoostPuls,RESOLVED,0x4004006C (stDefaultInjBankTiming+DWARF(12)),STRUCT_MEMBER
stDefaultInjBankTiming.BoostLimit,RESOLVED,0x40040070 (stDefaultInjBankTiming+DWARF(16)),STRUCT_MEMBER
stDefaultInjBankTiming.BoostPause,RESOLVED,0x40040074 (stDefaultInjBankTiming+DWARF(20)),STRUCT_MEMBER
stDefaultInjBankTiming.Unload,RESOLVED,0x40040078 (stDefaultInjBankTiming+DWARF(24)),STRUCT_MEMBER
stDefaultInjBankTiming.UnloadLimit,RESOLVED,0x4004007C (stDefaultInjBankTiming+DWARF(28)),STRUCT_MEMBER
stDefaultInjBankTiming.HoldPuls,RESOLVED,0x40040080 (stDefaultInjBankTiming+DWARF(32)),STRUCT_MEMBER
stDefaultInjBankTiming.HoldLimit,RESOLVED,0x40040084 (stDefaultInjBankTiming+DWARF(36)),STRUCT_MEMBER
stDefaultInjBankTiming.HoldPause,RESOLVED,0x40040088 (stDefaultInjBankTiming+DWARF(40)),STRUCT_MEMBER
gkSpeedconfig.ZaehnezahlKW,RESOLVED,0x40040024 (gkSpeedconfig+DWARF(0)),STRUCT_MEMBER
gkSpeedconfig.FehlZaehneKW,RESOLVED,0x40040026 (gkSpeedconfig+DWARF(2)),STRUCT_MEMBER
gkSpeedconfig.WinkelKW,RESOLVED,0x4004002C (gkSpeedconfig+DWARF(8)),STRUCT_MEMBER
gkSpeedconfig.WinkelNW,RESOLVED,0x40040030 (gkSpeedconfig+DWARF(12)),STRUCT_MEMBER
gkSpeedconfig.WinkelKW1,RESOLVED,0x40040034 (gkSpeedconfig+DWARF(16)),STRUCT_MEMBER
gkSpeedconfig.WinkelNW1,RESOLVED,0x40040038 (gkSpeedconfig+DWARF(20)),STRUCT_MEMBER
cnst_CylinderNumber,RESOLVED,0x40040052 (cnst_CylinderNumber),DIRECT
cnst_BankNumber,RESOLVED,0x40040054 (cnst_BankNumber),DIRECT
cnst_VAngle,RESOLVED,0x4004005C (cnst_VAngle),DIRECT
gucCrankStatus,RESOLVED,0x40010969 (gucCrankStatus),DIRECT
gucCamStatus,RESOLVED,0x4001096A (gucCamStatus),DIRECT
gkSpeedconfig.Typ,RESOLVED,0x40040028 (gkSpeedconfig+DWARF(4)),STRUCT_MEMBER
gkSpeedconfig.Gap,RESOLVED,0x40040027 (gkSpeedconfig+DWARF(3)),STRUCT_MEMBER
gfCamAngle,RESOLVED,0x40010964 (gfCamAngle),DIRECT
gusTPUFirstToothAngle,RESOLVED,0x40010996 (gusTPUFirstToothAngle),DIRECT
gfInjectionDurationLowLimit,RESOLVED,0x40040018 (gfInjectionDurationLowLimit),DIRECT
gfInjectionDurationUnderLowLimit,RESOLVED,0x40040014 (gfInjectionDurationUnderLowLimit),DIRECT
j1939_handle_entry[0].sa,RESOLVED,0x4000B060 (j1939_handle_entry[0]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[1].sa,RESOLVED,0x4000B07C (j1939_handle_entry[1]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[2].sa,RESOLVED,0x4000B098 (j1939_handle_entry[2]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[3].sa,RESOLVED,0x4000B0B4 (j1939_handle_entry[3]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[4].sa,RESOLVED,0x4000B0D0 (j1939_handle_entry[4]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[5].sa,RESOLVED,0x4000B0EC (j1939_handle_entry[5]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[6].sa,RESOLVED,0x4000B108 (j1939_handle_entry[6]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[7].sa,RESOLVED,0x4000B124 (j1939_handle_entry[7]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[8].sa,RESOLVED,0x4000B140 (j1939_handle_entry[8]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[9].sa,RESOLVED,0x4000B15C (j1939_handle_entry[9]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[10].sa,RESOLVED,0x4000B178 (j1939_handle_entry[10]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[11].sa,RESOLVED,0x4000B194 (j1939_handle_entry[11]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[12].sa,RESOLVED,0x4000B1B0 (j1939_handle_entry[12]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[13].sa,RESOLVED,0x4000B1CC (j1939_handle_entry[13]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[14].sa,RESOLVED,0x4000B1E8 (j1939_handle_entry[14]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[15].sa,RESOLVED,0x4000B204 (j1939_handle_entry[15]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[16].sa,RESOLVED,0x4000B220 (j1939_handle_entry[16]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[17].sa,RESOLVED,0x4000B23C (j1939_handle_entry[17]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[18].sa,RESOLVED,0x4000B258 (j1939_handle_entry[18]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[19].sa,RESOLVED,0x4000B274 (j1939_handle_entry[19]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[20].sa,RESOLVED,0x4000B290 (j1939_handle_entry[20]+DWARF(8)),STRUCT_MEMBER
j1939_handle_entry[21].sa,RESOLVED,0x4000B2AC (j1939_handle_entry[21]+DWARF(8)),STRUCT_MEMBER
DTqC_MaxTqAtCurrentEngSpd_M,RESOLVED,0x40041C84 (mtlb_DTqC_MaxTqAtCurrentEngSpd_M),DIRECT
DTqC_MaxTqNEng_A,RESOLVED,0x40041CB4 (mtlb_DTqC_MaxTqNEng_A),DIRECT
DTqC_TqFric_M,RESOLVED,0x400433AC (mtlb_DTqC_TqFric_M),DIRECT
DTqC_TOil_A,RESOLVED,0x4004202C (mtlb_DTqC_TOil_A),DIRECT
DTqC_NEng_A,RESOLVED,0x40041DB4 (mtlb_DTqC_NEng_A),DIRECT
DTqC_SpdRefWithAccrPedl_M,RESOLVED,0x40041EB8 (mtlb_DTqC_SpdRefWithAccrPedl_M),DIRECT
DTqC_AccrPedlForSpdRef_A,RESOLVED,0x40040708 (mtlb_DTqC_AccrPedlForSpdRef_A),DIRECT
DTqC_TqStrt_M,RESOLVED,0x40043A10 (mtlb_DTqC_TqStrt_M),DIRECT
DTqC_NEngForStrtCtl_A,RESOLVED,0x40041D0C (mtlb_DTqC_NEngForStrtCtl_A),DIRECT
EIP_TCooltFromTOil_M,RESOLVED,0x40044524 (mtlb_EIP_TCooltFromTOil_M),DIRECT
EIP_TOil_A,RESOLVED,0x40044604 (mtlb_EIP_TOil_A),DIRECT
EIP_TOilFromTCoolt_M,RESOLVED,0x400445C4 (mtlb_EIP_TOilFromTCoolt_M),DIRECT
EIP_TCoolt_A,RESOLVED,0x40044568 (mtlb_EIP_TCoolt_A),DIRECT
EMS_NEngStrtToIdleThd_M,RESOLVED,0x40044970 (mtlb_EMS_NEngStrtToIdleThd_M),DIRECT
EMS_TCooltStrtToIdle_A,RESOLVED,0x400449A4 (mtlb_EMS_TCooltStrtToIdle_A),DIRECT
EOP_IRefPCV_M,RESOLVED,0x40044D04 (mtlb_EOP_IRefPCV_M),DIRECT
EOP_PRailRefForPCV_A,RESOLVED,0x40044D5C (mtlb_EOP_PRailRefForPCV_A),DIRECT
EOP_IRefVCV_M,RESOLVED,0x40044D2C (mtlb_EOP_IRefVCV_M),DIRECT
EOP_PercgVCVReq_A,RESOLVED,0x40044D84 (mtlb_EOP_PercgVCVReq_A),DIRECT
EngBrk_ActEngBrkTq_M,RESOLVED,0x40044E2C (mtlb_EngBrk_ActEngBrkTq_M),DIRECT
EngBrk_DrvrBrkLvrPosn_A,RESOLVED,0x40044EBC (mtlb_EngBrk_DrvrBrkLvrPosn_A),DIRECT
EngBrk_NEngForActEngBrkTq_A,RESOLVED,0x40044F04 (mtlb_EngBrk_NEngForActEngBrkTq_A),DIRECT
EngBrk_EngBrkTqMax_M,RESOLVED,0x40044ED0 (mtlb_EngBrk_EngBrkTqMax_M),DIRECT
EngBrk_NEngForEngBrkTqMax_A,RESOLVED,0x40044F2C (mtlb_EngBrk_NEngForEngBrkTqMax_A),DIRECT
IC_FuInTank_M,RESOLVED,0x400450D4 (mtlb_IC_FuInTank_M),DIRECT
IC_FuInTank_A,RESOLVED,0x400450C8 (mtlb_IC_FuInTank_A),DIRECT
IC_OfsPlt2MaiInj_M,RESOLVED,0x40045F18 (mtlb_IC_OfsPlt2MaiInj_M),DIRECT
IC_NEngForOfsPlt2MaiInj_A,RESOLVED,0x40045DEC (mtlb_IC_NEngForOfsPlt2MaiInj_A),DIRECT
PHC_TiAcvnGridHeatr_M,RESOLVED,0x400486E0 (mtlb_PHC_TiAcvnGridHeatr_M),DIRECT
PHC_PAmbAirForTiAcvnGridHeatr_A,RESOLVED,0x40048694 (mtlb_PHC_PAmbAirForTiAcvnGridHeatr_A),DIRECT
PHC_TiAcvnGridHeatr_A,RESOLVED,0x400486B8 (mtlb_PHC_TiAcvnGridHeatr_A),DIRECT
PHC_TiPreHeatg_M,RESOLVED,0x400487B8 (mtlb_PHC_TiPreHeatg_M),DIRECT
PHC_PAmbAirForTiPreHeatgClcn_A,RESOLVED,0x400486A4 (mtlb_PHC_PAmbAirForTiPreHeatgClcn_A),DIRECT
PHC_TiPreHeatgClcn_A,RESOLVED,0x40048790 (mtlb_PHC_TiPreHeatgClcn_A),DIRECT
PtoCtrl_CoeffDForPto_M,RESOLVED,0x40048878 (mtlb_PtoCtrl_CoeffDForPto_M),DIRECT
PtoCtrl_ErrNEngRef_A,RESOLVED,0x40048EB8 (mtlb_PtoCtrl_ErrNEngRef_A),DIRECT
PtoCtrl_TCooltForSpdCtl_A,RESOLVED,0x40049134 (mtlb_PtoCtrl_TCooltForSpdCtl_A),DIRECT
PtoCtrl_CoeffFiltForPto_M,RESOLVED,0x40048A08 (mtlb_PtoCtrl_CoeffFiltForPto_M),DIRECT
PtoCtrl_CoeffIForPto_M,RESOLVED,0x40048B98 (mtlb_PtoCtrl_CoeffIForPto_M),DIRECT
PtoCtrl_CoeffPForPto_M,RESOLVED,0x40048D28 (mtlb_PtoCtrl_CoeffPForPto_M),DIRECT
PtoCtrl_PtoCtrlFF_M,RESOLVED,0x40048F78 (mtlb_PtoCtrl_PtoCtrlFF_M),DIRECT
PtoCtrl_TCooltForPtoCtrlFF_A,RESOLVED,0x4004910C (mtlb_PtoCtrl_TCooltForPtoCtrlFF_A),DIRECT
PtoCtrl_NEngForPtoCtrlFF_A,RESOLVED,0x40048EFC (mtlb_PtoCtrl_NEngForPtoCtrlFF_A),DIRECT
RPG_PercgVolCtrlVlvFFLeakg1_M,RESOLVED,0x4004A620 (mtlb_RPG_PercgVolCtrlVlvFFLeakg1_M),DIRECT
RPG_TqIndcdLimdForFFLeakg1_A,RESOLVED,0x4004B11C (mtlb_RPG_TqIndcdLimdForFFLeakg1_A),DIRECT
RPG_NEngQntyForFFLeakg1_A,RESOLVED,0x400498B4 (mtlb_RPG_NEngQntyForFFLeakg1_A),DIRECT
RPG_PercgVolCtrlVlvFFLeakg2_M,RESOLVED,0x4004A9A4 (mtlb_RPG_PercgVolCtrlVlvFFLeakg2_M),DIRECT
RPG_TqIndcdLimdForFFLeakg2_A,RESOLVED,0x4004B158 (mtlb_RPG_TqIndcdLimdForFFLeakg2_A),DIRECT
RPG_NEngQntyForFFLeakg2_A,RESOLVED,0x400498F0 (mtlb_RPG_NEngQntyForFFLeakg2_A),DIRECT
RPG_PercgVolCtrlVlvFFLeakg3_M,RESOLVED,0x4004AD28 (mtlb_RPG_PercgVolCtrlVlvFFLeakg3_M),DIRECT
RPG_TqIndcdLimdForFFLeakg3_A,RESOLVED,0x4004B194 (mtlb_RPG_TqIndcdLimdForFFLeakg3_A),DIRECT
RPG_NEngQntyForFFLeakg3_A,RESOLVED,0x4004992C (mtlb_RPG_NEngQntyForFFLeakg3_A),DIRECT
RPG_CoeffDForPRailCtl_M,RESOLVED,0x400491A8 (mtlb_RPG_CoeffDForPRailCtl_M),DIRECT
RPG_ErrPRail_A,RESOLVED,0x400497E8 (mtlb_RPG_ErrPRail_A),DIRECT
RPG_TFuForPRailCtl_A,RESOLVED,0x4004B0EC (mtlb_RPG_TFuForPRailCtl_A),DIRECT
RPG_CoeffFiltForPRailCtl_M,RESOLVED,0x40049338 (mtlb_RPG_CoeffFiltForPRailCtl_M),DIRECT
RPG_CoeffIForPRailCtl_M,RESOLVED,0x400494C8 (mtlb_RPG_CoeffIForPRailCtl_M),DIRECT
RPG_CoeffPForPRailCtl_M,RESOLVED,0x40049658 (mtlb_RPG_CoeffPForPRailCtl_M),DIRECT
RPG_PAmbAirCorrForPRail_M,RESOLVED,0x40049970 (mtlb_RPG_PAmbAirCorrForPRail_M),DIRECT
RPG_PAmbAirCorrPRail_A,RESOLVED,0x40049984 (mtlb_RPG_PAmbAirCorrPRail_A),DIRECT
RPG_PRailCorrPAmbAir_M,RESOLVED,0x400499C0 (mtlb_RPG_PRailCorrPAmbAir_M),DIRECT
RPG_TqIndcdLimdForPAmbAirCorr_A,RESOLVED,0x4004B1D0 (mtlb_RPG_TqIndcdLimdForPAmbAirCorr_A),DIRECT
RPG_NEngCorrForPAmbAirCorr_A,RESOLVED,0x40049828 (mtlb_RPG_NEngCorrForPAmbAirCorr_A),DIRECT
RPG_TCorrForPRail_M,RESOLVED,0x4004B0D8 (mtlb_RPG_TCorrForPRail_M),DIRECT
RPG_TCorrForPRail_A,RESOLVED,0x4004B0C4 (mtlb_RPG_TCorrForPRail_A),DIRECT
SC_TiMaxAllwblCrnkg_M,RESOLVED,0x4004B298 (mtlb_SC_TiMaxAllwblCrnkg_M),DIRECT
SC_TiCrnkg_A,RESOLVED,0x4004B264 (mtlb_SC_TiCrnkg_A),DIRECT
TrC_FuQntyToTq_M,RESOLVED,0x4004C74C (mtlb_TrC_FuQntyToTq_M),DIRECT
TrC_FuQntyForQntyCnvn_A,RESOLVED,0x4004C6FC (mtlb_TrC_FuQntyForQntyCnvn_A),DIRECT
TrC_NEngForQntyCnvn_A,RESOLVED,0x40050820 (mtlb_TrC_NEngForQntyCnvn_A),DIRECT
TrC_MaiFuPAmbAirCorr_M,RESOLVED,0x4004FDF8 (mtlb_TrC_MaiFuPAmbAirCorr_M),DIRECT
TrC_TqIndcdLimdForMaiFuCorr_A,RESOLVED,0x40050AF4 (mtlb_TrC_TqIndcdLimdForMaiFuCorr_A),DIRECT
TrC_MaiFuPAmbAirCorr_A,RESOLVED,0x4004FDD0 (mtlb_TrC_MaiFuPAmbAirCorr_A),DIRECT
TrC_MaiFuTAirBoostCorr_M,RESOLVED,0x4004FFB0 (mtlb_TrC_MaiFuTAirBoostCorr_M),DIRECT
TrC_MaiFuTAirBoostCorr_A,RESOLVED,0x4004FF88 (mtlb_TrC_MaiFuTAirBoostCorr_A),DIRECT
TrC_MaiFuTAmbAirCorr_M,RESOLVED,0x40050168 (mtlb_TrC_MaiFuTAmbAirCorr_M),DIRECT
TrC_MaiFuTAmbAirCorr_A,RESOLVED,0x40050140 (mtlb_TrC_MaiFuTAmbAirCorr_A),DIRECT
TrC_MaiFuTCooltCorr_M,RESOLVED,0x40050320 (mtlb_TrC_MaiFuTCooltCorr_M),DIRECT
TrC_MaiFuTCooltCorr_A,RESOLVED,0x400502F8 (mtlb_TrC_MaiFuTCooltCorr_A),DIRECT
TrC_MaiFuTOilCorr_M,RESOLVED,0x400504D8 (mtlb_TrC_MaiFuTOilCorr_M),DIRECT
TrC_MaiFuTOilCorr_A,RESOLVED,0x400504B0 (mtlb_TrC_MaiFuTOilCorr_A),DIRECT
TrC_MaiFuUClmp30Corr_M,RESOLVED,0x40050690 (mtlb_TrC_MaiFuUClmp30Corr_M),DIRECT
TrC_MaiFuUClmp30Corr_A,RESOLVED,0x40050668 (mtlb_TrC_MaiFuUClmp30Corr_A),DIRECT
TrC_MMaiFuQnty1_M,RESOLVED,0x4004CF1C (mtlb_TrC_MMaiFuQnty1_M),DIRECT
TrC_TqIndcdLimdMMaiFu_A,RESOLVED,0x40050B44 (mtlb_TrC_TqIndcdLimdMMaiFu_A),DIRECT
TrC_NEngMMaiFu_A,RESOLVED,0x40050884 (mtlb_TrC_NEngMMaiFu_A),DIRECT
TrC_MMaiFuQnty2_M,RESOLVED,0x4004D8E0 (mtlb_TrC_MMaiFuQnty2_M),DIRECT
TrC_MMaiFuQnty3_M,RESOLVED,0x4004E2A4 (mtlb_TrC_MMaiFuQnty3_M),DIRECT
TrC_MPltFuQnty1_M,RESOLVED,0x4004EE28 (mtlb_TrC_MPltFuQnty1_M),DIRECT
TrC_TqIndcdLimdMPreFu_A,RESOLVED,0x40050BA8 (mtlb_TrC_TqIndcdLimdMPreFu_A),DIRECT
TrC_NEngMPreFu_A,RESOLVED,0x400508E8 (mtlb_TrC_NEngMPreFu_A),DIRECT
TrC_MPltFuQnty2_M,RESOLVED,0x4004F080 (mtlb_TrC_MPltFuQnty2_M),DIRECT
TrC_MPltFuQnty3_M,RESOLVED,0x4004F2D8 (mtlb_TrC_MPltFuQnty3_M),DIRECT
TrC_MPltFuPAmbAirCorr_M,RESOLVED,0x4004EC98 (mtlb_TrC_MPltFuPAmbAirCorr_M),DIRECT
TrC_TqIndcdLimdForPltFuCorr_A,RESOLVED,0x40050B1C (mtlb_TrC_TqIndcdLimdForPltFuCorr_A),DIRECT
TrC_MPltFuPAmbAirCorr_A,RESOLVED,0x4004EC70 (mtlb_TrC_MPltFuPAmbAirCorr_A),DIRECT
TrC_MPltFuTAirBoostCorr_M,RESOLVED,0x4004F560 (mtlb_TrC_MPltFuTAirBoostCorr_M),DIRECT
TrC_MPltFuTAirBoostCorr_A,RESOLVED,0x4004F538 (mtlb_TrC_MPltFuTAirBoostCorr_A),DIRECT
TrC_MPltFuTAmbAirCorr_M,RESOLVED,0x4004F718 (mtlb_TrC_MPltFuTAmbAirCorr_M),DIRECT
TrC_MPltFuTAmbAirCorr_A,RESOLVED,0x4004F6F0 (mtlb_TrC_MPltFuTAmbAirCorr_A),DIRECT
TrC_MPltFuTCooltCorr_M,RESOLVED,0x4004F8D0 (mtlb_TrC_MPltFuTCooltCorr_M),DIRECT
TrC_MPltFuTCooltCorr_A,RESOLVED,0x4004F8A8 (mtlb_TrC_MPltFuTCooltCorr_A),DIRECT
TrC_MPltFuTOilCorr_M,RESOLVED,0x4004FA88 (mtlb_TrC_MPltFuTOilCorr_M),DIRECT
TrC_MPltFuTOilCorr_A,RESOLVED,0x4004FA60 (mtlb_TrC_MPltFuTOilCorr_A),DIRECT
TrC_MPltFuUClmp30Corr_M,RESOLVED,0x4004FC40 (mtlb_TrC_MPltFuUClmp30Corr_M),DIRECT
TrC_MPltFuUClmp30Corr_A,RESOLVED,0x4004FC18 (mtlb_TrC_MPltFuUClmp30Corr_A),DIRECT
TrC_RatAirFuSmokLim_M,RESOLVED,0x40050954 (mtlb_TrC_RatAirFuSmokLim_M),DIRECT
TrC_TqIndcdLimdRatAirFu_A,RESOLVED,0x40050BD0 (mtlb_TrC_TqIndcdLimdRatAirFu_A),DIRECT
TrC_NEngRatAirFu_A,RESOLVED,0x40050924 (mtlb_TrC_NEngRatAirFu_A),DIRECT
TL_TqLimp_M,RESOLVED,0x4004C658 (mtlb_TL_TqLimp_M),DIRECT
TL_NEngLimp_A,RESOLVED,0x4004B6B4 (mtlb_TL_NEngLimp_A),DIRECT
TL_TqPtoProtn_M,RESOLVED,0x4004C6C0 (mtlb_TL_TqPtoProtn_M),DIRECT
TL_NEngPtoProtn_A,RESOLVED,0x4004B714 (mtlb_TL_NEngPtoProtn_A),DIRECT
TL_TqLimnForTrsmProtn_M,RESOLVED,0x4004C4C8 (mtlb_TL_TqLimnForTrsmProtn_M),DIRECT
TL_TrsmCurrentGear_A,RESOLVED,0x4004C6E4 (mtlb_TL_TrsmCurrentGear_A),DIRECT
TL_NEngForTrsmProtn_A,RESOLVED,0x4004B68C (mtlb_TL_NEngForTrsmProtn_A),DIRECT
WgC_DutyWgtVlvFF_M,RESOLVED,0x4005187C (mtlb_WgC_DutyWgtVlvFF_M),DIRECT
WgC_TqIndcdLimdForPAirBoostFF_A,RESOLVED,0x40052AC0 (mtlb_WgC_TqIndcdLimdForPAirBoostFF_A),DIRECT
WgC_NEngForPAirBoostFF_A,RESOLVED,0x4005217C (mtlb_WgC_NEngForPAirBoostFF_A),DIRECT
WgC_LimSigLo_M,RESOLVED,0x40051F9C (mtlb_WgC_LimSigLo_M),DIRECT
WgC_TqIndcdLimdForPAirBoostFFLimSigLo_A,RESOLVED,0x40052A98 (mtlb_WgC_TqIndcdLimdForPAirBoostFFLimSigLo_A),DIRECT
WgC_NEngForPAirBoostFFLimSigLo_A,RESOLVED,0x40052154 (mtlb_WgC_NEngForPAirBoostFFLimSigLo_A),DIRECT
WgC_LimSigUp_M,RESOLVED,0x40052000 (mtlb_WgC_LimSigUp_M),DIRECT
WgC_TqIndcdLimdForPAirBoostFFLimSigUp_A,RESOLVED,0x40052AAC (mtlb_WgC_TqIndcdLimdForPAirBoostFFLimSigUp_A),DIRECT
